Categoria;Prueba;Marca;Año;Competencia;Nombre Atleta;
Juvenil Masculino;Salto Alto;1.85 metros;2024;Sudamericano Escolar;Simón Montalva;
Juvenil Femenino;Salto Alto;1.6 metros;2024;Sudamericano Escolar;María Gracia Montes;
Juvenil Femenino;Salto Alto;1.55 metros;2024;Sudamericano Escolar;Camila Méndez;
Juvenil Femenino;Lanzamiento Disco;36.22 metros;2024;Sudamericano Escolar;María Ellsworth;
Juvenil Femenino;Lanzamiento Disco;29.12 metros;2024;Sudamericano Escolar;Elisa Barros;
Juvenil Masculino;Lanzamiento Disco;46.44 metros;2024;Sudamericano Escolar;Salvador East;
Juvenil Masculino;Lanzamiento Martillo;68.13 metros;2024;Sudamericano Escolar;Nicolás Vergara;
Juvenil Masculino;Lanzamiento Martillo;55.42 metros;2024;Sudamericano Escolar;Jahaziel Belmar;
Juvenil Femenino;Lanzamiento Martillo;48.82 metros;2024;Sudamericano Escolar;María Paz Bakovic;
Juvenil Femenino;Lanzamiento Martillo;47.22 metros;2024;Sudamericano Escolar;Charlott Pérez;
Juvenil Masculino;Salto Garrocha;4.8 metros;2024;Sudamericano Escolar;Leonardo Olate;
Juvenil Masculino;Salto Garrocha;4 metros;2024;Sudamericano Escolar;José Tomás Bravo;
Juvenil Femenino;Salto Garrocha;3.3 metros;2024;Sudamericano Escolar;Valentina Mozo;
Juvenil Femenino;Salto Garrocha;3.2 metros;2024;Sudamericano Escolar;Josefa Arellano;
Juvenil Femenino;Lanzamiento Bala;11.95 metros;2024;Sudamericano Escolar;María Ellsworth;
Juvenil Femenino;Lanzamiento Bala;11.77 metros;2024;Sudamericano Escolar;Anastasia Salvador;
Juvenil Masculino;Lanzamiento Bala;16.08 metros;2024;Sudamericano Escolar;Vittorio Gorziglia;
Juvenil Masculino;Lanzamiento Bala;16.05 metros;2024;Sudamericano Escolar;Ricardo Lobos;
Juvenil Masculino;Lanzamiento Jabalina;57.47 metros;2024;Sudamericano Escolar;Lautaro Zapico;
Juvenil Masculino;Lanzamiento Jabalina;45.97 metros;2024;Sudamericano Escolar;Matías López;
Juvenil Masculino;800m;117,12;2021;Sudamericano Escolar;Klaus Scholz;
Juvenil Masculino;800m;118,44;2021;Sudamericano Escolar;Tomás Godoy;
Juvenil Femenino;Salto Largo;5.75 metros;2021;Sudamericano Escolar;Matilde Tejos;
Juvenil Femenino;Salto Largo;5.67 metros;2021;Sudamericano Escolar;Isidora Albornoz;
Juvenil Masculino;Salto Alto;2.04 metros;2021;Sudamericano Escolar;Cristóbal Sahurie;
Juvenil Masculino;Salto Alto;1.85 metros;2021;Sudamericano Escolar;Ignacio Tagle;
Juvenil Femenino;Lanzamiento Disco;43.15 metros;2021;Sudamericano Escolar;Valentina Ulloa;
Juvenil Femenino;Lanzamiento Disco;37 metros;2021;Sudamericano Escolar;Sara Vera;
Juvenil Masculino;Lanzamiento Disco;51.74 metros;2021;Sudamericano Escolar;Felipe de la Maza;
Juvenil Masculino;Lanzamiento Martillo;66.99 metros;2021;Sudamericano Escolar;Cipriano Riquelme;
Juvenil Masculino;Lanzamiento Martillo;66.04 metros;2021;Sudamericano Escolar;Miguel Castro;
Juvenil Femenino;Lanzamiento Martillo;55.3 metros;2021;Sudamericano Escolar;Sara Vera;
Juvenil Masculino;Salto Garrocha;4.2 metros;2021;Sudamericano Escolar;Jerónimo Correa;
Juvenil Femenino;Salto Garrocha;3.6 metros;2021;Sudamericano Escolar;Asunción Dreyfus;
Juvenil Femenino;Salto Garrocha;3.4 metros;2021;Sudamericano Escolar;María Trinidad Matte;
Juvenil Femenino;Lanzamiento Bala;13.29 metros;2021;Sudamericano Escolar;Gracia Gorziglia;
Juvenil Femenino;Lanzamiento Bala;13.12 metros;2021;Sudamericano Escolar;Valentina Ulloa;
